"INSTNM","YEAR","LOCALE2","STABBR","ACCREDAGENCY","REGION","CONTROL","LOCALE","MAIN","ADM_RATE","UGDS","COSTT4_A","HBCU","MN_EARN_WNE_P10","MD_EARN_WNE_P10","MN_EARN_WNE_MALE0_P10","MN_EARN_WNE_MALE1_P10","MN_EARN_WNE_P6","MD_EARN_WNE_P6","MN_EARN_WNE_MALE0_P6","MN_EARN_WNE_MALE1_P6","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","TUITIONFEE_OUT","TUITIONFEE_IN"
"Cosmetology Academy of Texarkana",2025,"01 City","TX","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","13","Main","NA","55","not_reported","0","NA","NA","NA","NA","NA","13551","NA","NA","7917","10637","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Veritas Baptist College",2025,"03 Town","IN","Transnational Association of Christian Colleges and Schools",3,"Private nonprofit","31","Main","1","114","18643","0","NA","NA","NA","NA","NA","30634","NA","NA","11783","PS","NA","NA","NA","NA","0.3333","PS","PS","8992","8992"
"Lynnes Welding Training",2025,"01 City","ND","Accrediting Commission of Career Schools and Colleges",4,"Private for-profit","12","Main","NA","36","not_reported","0","NA","NA","NA","NA","NA","43508","NA","NA","3385","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aviation Institute of Maintenance-Las Vegas",2025,"01 City","NV","Accrediting Commission of Career Schools and Colleges",8,"Private for-profit","12","Other","NA","332","31041","0","39600","48191","PS","PS","36900","46459","PS","PS","20500","31500","0.1935483871","0.1696750903","0.2452830189","0.3548387097","NA","NA","NA","16757","16757"
"UEI College-Bakersfield",2025,"01 City","CA","Accrediting Commission of Career Schools and Colleges",8,"Private for-profit","11","Other","NA","1385","not_reported","0","25300","27688","PS","PS","21900","25820","21400","28200","9445","9500","0.2124798279","0.1832694764","0.3576923077","0.4545454545","NA","NA","NA","NA","NA"
"DeVry College of New York",2025,"01 City","NY","Higher Learning Commission",2,"Private for-profit","11","Other","1","175","41672","0","50300","45987","42500","54600","37600","42178","32900","40700","12805","24807","0.3764165573","0.3255928006","0.4251777879","0.5477075589","0.2727","0.3143","0.5345","17488","17488"
"DeVry University-Arizona",2025,"01 City","AZ","Higher Learning Commission",6,"Private for-profit","11","Other","NA","22","not_reported","0","50300","45987","42500","54600","37600","42178","32900","40700","12805","24807","0.3764165573","0.3255928006","0.4251777879","0.5477075589","0.3143","0.2209","PS","17488","17488"
"DeVry University-California",2025,"01 City","CA","Higher Learning Commission",8,"Private for-profit","12","Other","0.4325","2081","39643","0","50300","45987","42500","54600","37600","42178","32900","40700","12805","24807","0.3764165573","0.3255928006","0.4251777879","0.5477075589","0.1818","0.2015","0.68","17488","17488"
"DeVry University-Florida",2025,"01 City","FL","Higher Learning Commission",5,"Private for-profit","11","Other","1","188","not_reported","0","50300","45987","42500","54600","37600","42178","32900","40700","12805","24807","0.3764165573","0.3255928006","0.4251777879","0.5477075589","0.225","0.1346","PS","17488","17488"
"DeVry University-Georgia",2025,"02 Suburb","GA","Higher Learning Commission",5,"Private for-profit","21","Other","0.8125","472","39356","0","50300","45987","42500","54600","37600","42178","32900","40700","12805","24807","0.3764165573","0.3255928006","0.4251777879","0.5477075589","0.1935","0.1639","0.6885","17488","17488"
"DeVry University-Illinois",2025,"02 Suburb","IL","Higher Learning Commission",3,"Private for-profit","21","Main","0.4325","25975","38020","0","50300","45987","42500","54600","37600","42178","32900","40700","12805","24807","0.3764165573","0.3255928006","0.4251777879","0.5477075589","0.4008","0.2427","0.6522","17488","17488"
"DeVry University-Nevada",2025,"01 City","NV","Higher Learning Commission",8,"Private for-profit","11","Other","NA","4","not_reported","0","50300","45987","42500","54600","37600","42178","32900","40700","12805","24807","0.3764165573","0.3255928006","0.4251777879","0.5477075589","PS","PS","PS","17488","17488"
"DeVry University-New Jersey",2025,"02 Suburb","NJ","Higher Learning Commission",2,"Private for-profit","21","Other","1","68","not_reported","0","50300","45987","42500","54600","37600","42178","32900","40700","12805","24807","0.3764165573","0.3255928006","0.4251777879","0.5477075589","0.0811","0.2769","PS","17488","17488"
"DeVry University-Ohio",2025,"01 City","OH","Higher Learning Commission",3,"Private for-profit","11","Other","0.8889","218","not_reported","0","50300","45987","42500","54600","37600","42178","32900","40700","12805","24807","0.3764165573","0.3255928006","0.4251777879","0.5477075589","0.3148","0.1954","0.4333","17488","17488"
"DeVry University-Texas",2025,"01 City","TX","Higher Learning Commission",6,"Private for-profit","11","Other","0","26","not_reported","0","50300","45987","42500","54600","37600","42178","32900","40700","12805","24807","0.3764165573","0.3255928006","0.4251777879","0.5477075589","0.1429","0.183","PS","17488","17488"
"DeVry University-Virginia",2025,"01 City","VA","Higher Learning Commission",5,"Private for-profit","12","Other","1","25","33556","0","50300","45987","42500","54600","37600","42178","32900","40700","12805","24807","0.3764165573","0.3255928006","0.4251777879","0.5477075589","PS","0.2727","PS","17488","17488"
"University of North Georgia",2025,"03 Town","GA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","0.7216","15542","18062","0","46200","50135","42200","52600","37300","43085","35600","39700","9673","17750","0.6308356218","0.5118764846","0.6559006211","0.7195121951","0.3771","0.5094","0.7248","15441","5009"
"South Georgia State College",2025,"03 Town","GA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","33","Main","NA","1553","16015","0","34000","35697","31700","38000","26600","30570","25400","28500","7000","11500","0.2664652568","0.2200188857","0.3219178082","0.4240506329","0.188","NA","0.5574","9322","2970"
"Northeastern University Professional Programs",2025,"01 City","MA","New England Commission on Higher Education",1,"Private nonprofit","11","Other","NA","1674","not_reported","0","74200","92538","68700","81000","57800","78413","54900","60900","22000","24250","0.7869451697","0.6256281407","0.7475083056","0.8696651346","NA","NA","NA","NA","NA"
"Florida Polytechnic University",2025,"04 Rural","FL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","41","Main","0.5573","1556","20807","0","NA","NA","NA","NA","NA","77545","NA","NA","7500","14250","NA","NA","NA","NA","0.4961","0.5379","0.7714","21005","4940"
"American Institute-Toms River",2025,"02 Suburb","NJ","Accrediting Bureau of Health Education Schools",2,"Private for-profit","21","Other","NA","463","not_reported","0","27800","28710","26400","32100","25900","25543","25900","26200","9304","11979","0.2478231748","0.2156704362","0.3686635945","0.6052631579","NA","NA","NA","NA","NA"
"Alamo City Barber College",2025,"01 City","TX","Council on Occupational Education",6,"Private for-profit","11","Main","NA","180","not_reported","0","NA","NA","NA","NA","NA","17214","NA","NA","5281","6937","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Arizona College-Mesa",2025,"01 City","AZ","Accrediting Bureau of Health Education Schools",6,"Private for-profit","11","Other","NA","133","32204","0","26400","34657","PS","PS","23900","32840","23500","26400","9500","9500","0.3","0.252285192","0.4453125","0.55","NA","NA","NA","18835","18835"
"American College of Healthcare and Technology",2025,"02 Suburb","CA","Accrediting Bureau of Health Education Schools",8,"Private for-profit","21","Other","NA","155","not_reported","0","31300","31109","PS","PS","PS","29409","PS","PS","9500","9500","0.2177700348","0.1784946237","PS","PS","NA","NA","NA","NA","NA"
"Antioch College",2025,"04 Rural","OH","Higher Learning Commission",3,"Private nonprofit","41","Main","0.8167","127","50383","0","NA","NA","NA","NA","NA","32114","NA","NA","6518","PS","NA","NA","NA","NA","0.2549","0.4956","0.6721","37143","37143"
"Texas A&M University-Central Texas",2025,"04 Rural","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","41","Main","1","1698","13220","0","NA","NA","NA","NA","NA","50382","NA","NA","13000","17750","NA","NA","NA","NA","NA","NA","NA","16419","6627"
"Central Georgia Technical College",2025,"01 City","GA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","NA","5602","11885","0","25200","30848","23600","29500","23100","29831","21000","27500","5500","9608","0.1907810499","0.1618975904","0.3016759777","0.5272727273","NA","NA","NA","5580","3180"
"Barber School of Pittsburgh",2025,"01 City","PA","National Accrediting Commission of Career Arts and Sciences",2,"Private for-profit","11","Main","NA","78","not_reported","0","NA","NA","NA","NA","NA","14027","NA","NA","13583","13583","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Innovate Salon Academy",2025,"02 Suburb","NJ","National Accrediting Commission of Career Arts and Sciences",2,"Private for-profit","21","Main","NA","247","not_reported","0","NA","NA","NA","NA","NA","25918","NA","NA","6333","6333","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Arizona State University Digital Immersion",2025,"01 City","AZ","Higher Learning Commission",6,"Public","12","Other","0.6411","49000","not_reported","0","55500","62668","47800","64800","42200","52843","38900","46000","13610","19500","0.5848558828","0.5124426661","0.6031052887","0.6705286025","0.2739","0.2837","NA","NA","NA"
"Louisiana Delta Community College",2025,"01 City","LA","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","NA","2933","13941","0","PS","30438","PS","PS","23500","25742","21100","27800","7618","12500","NA","NA","NA","NA","NA","NA","NA","4159","4159"
"The Fab School",2025,"02 Suburb","CA","Council on Occupational Education",8,"Private for-profit","21","Main","NA","164","not_reported","0","NA","NA","NA","NA","NA","49130","NA","NA","4449","PS","0.65","PS","PS","PS","NA","NA","NA","NA","NA"
"Networks Barber College",2025,"02 Suburb","IL","National Accrediting Commission of Career Arts and Sciences",3,"Private for-profit","21","Main","NA","50","not_reported","0","NA","NA","NA","NA","NA","14460","NA","NA","15900","16500","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"JB's Hair Design and Barber College",2025,"01 City","OK","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","11","Main","NA","63","not_reported","0","NA","NA","NA","NA","NA","11548","NA","NA","PS","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Paul Mitchell the School-Lombard",2025,"02 Suburb","IL","National Accrediting Commission of Career Arts and Sciences",3,"Private for-profit","21","Other","NA","73","not_reported","0","PS","27652","PS","PS","26100","21694","PS","PS","9500","13598","0.3719512195","0.2964071856","0.4651162791","0.6111111111","NA","NA","NA","NA","NA"
"Paul Mitchell the School-Greenville",2025,"02 Suburb","SC","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","22","Other","NA","147","not_reported","0","PS","26696","PS","PS","PS","21933","PS","PS","9500","11740","0.3973288815","0.3238636364","0.4458598726","0.6","NA","NA","NA","NA","NA"
"Barber and Beauty Academy of Pennsylvania",2025,"02 Suburb","PA","National Accrediting Commission of Career Arts and Sciences",2,"Private for-profit","21","Main","NA","44","not_reported","0","NA","NA","NA","NA","NA","23257","NA","NA","3167","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Delta College of Arts & Technology-Lafayette Campus",2025,"01 City","LA","Council on Occupational Education",5,"Private for-profit","12","Other","NA","183","not_reported","0","29800","34222","PS","PS","25200","27631","PS","PS","5899","7393","0.5096011817","0.4831460674","0.5833333333","0.6857142857","NA","NA","NA","NA","NA"
"Delta College-Slidell Campus",2025,"01 City","LA","Council on Occupational Education",5,"Private for-profit","13","Other","NA","135","not_reported","0","21300","32044","PS","PS","22500","26952","PS","PS","6200","6397","0.5503597122","0.516509434","0.6559139785","0.6666666667","NA","NA","NA","NA","NA"
"Integrity College of Health",2025,"01 City","CA","Accrediting Bureau of Health Education Schools",8,"Private for-profit","12","Main","NA","158","not_reported","0","NA","NA","NA","NA","NA","53294","NA","NA","8444","13194","PS","PS","PS","PS","0.6585","NA","PS","NA","NA"
"Electrical and HVAC/R Training Center",2025,"02 Suburb","NY","Accrediting Council for Continuing Education & Training",2,"Private for-profit","21","Main","NA","236","not_reported","0","NA","NA","NA","NA","NA","59154","NA","NA","6022","6333","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Alexander Paul Institute of Hair Design",2025,"01 City","NC","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","13","Main","NA","37","not_reported","0","NA","NA","NA","NA","NA","26843","NA","NA","8750","8750","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"More Tech Institute",2025,"02 Suburb","FL","Accrediting Council for Continuing Education & Training",5,"Private for-profit","21","Main","NA","72","not_reported","0","NA","NA","NA","NA","NA","20597","NA","NA","6186","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Dorsey College-Dearborn",2025,"01 City","MI","Council on Occupational Education",3,"Private for-profit","11","Other","NA","450","29357","0","24700","29392","24200","30300","21400","21514","21100","23300","9500","13000","0.2051093098","0.1838448176","0.2893203883","0.5","NA","NA","NA","22800","22800"
"Neecee's Barber College",2025,"01 City","TX","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","12","Main","NA","33","not_reported","0","NA","NA","NA","NA","NA","10189","NA","NA","9500","10667","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bella Cosmetology and Barber College",2025,"03 Town","TX","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","32","Main","NA","71","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","8583","10667","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Franklin Hair Academy School of Cosmetology",2025,"01 City","TN","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","13","Main","NA","75","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ana G. Mendez University",2025,"01 City","FL","Middle States Commission on Higher Education",5,"Private nonprofit","11","Main","NA","4897","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","5592","12188","NA","NA","NA","NA","NA","NA","0.617","13575","13575"
"Ohio Institute of Allied Health",2025,"02 Suburb","OH","Council on Occupational Education",3,"Private nonprofit","21","Main","NA","39","40476","0","NA","NA","NA","NA","NA","NA","NA","NA","9499","9500","PS","PS","PS","PS","NA","NA","NA","24493","24493"
"Access Careers",2025,"02 Suburb","NY","Council on Occupational Education",2,"Private for-profit","21","Main","NA","408","not_reported","0","NA","NA","NA","NA","NA","29664","NA","NA","5500","5500","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Luckes Beauty Academy LLC",2025,"01 City","VA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","12","Main","NA","21","not_reported","0","NA","NA","NA","NA","NA","24463","NA","NA","9500","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Total Transformation Institute of Cosmetology",2025,"01 City","TX","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","13","Main","NA","94","not_reported","0","NA","NA","NA","NA","NA","21546","NA","NA","6009","7917","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Vibe Barber College",2025,"01 City","TN","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","11","Main","NA","63","not_reported","0","NA","NA","NA","NA","NA","29095","NA","NA","9500","9500","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Champ's Barber School",2025,"01 City","PA","National Accrediting Commission of Career Arts and Sciences",2,"Private for-profit","13","Main","NA","45","not_reported","0","NA","NA","NA","NA","NA","16675","NA","NA","9500","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Washington University of Science and Technology",2025,"02 Suburb","VA","Accrediting Commission of Career Schools and Colleges",5,"Private for-profit","21","Main","0.1149","302","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","NA","NA","NA","NA","0.7568","0.5757","0.56","13178","13178"
"East-West Healing Arts Institute",2025,"01 City","WI","Accrediting Bureau of Health Education Schools",3,"Private for-profit","11","Main","NA","44","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Standard Healthcare Services-College of Nursing",2025,"02 Suburb","VA","Accrediting Bureau of Health Education Schools",5,"Private for-profit","21","Main","0.2186","719","not_reported","0","NA","NA","NA","NA","NA","73707","NA","NA","14680","14750","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Philadelphia Technician Training",2025,"01 City","PA","Middle States Commission on Secondary Education",2,"Private nonprofit","11","Main","NA","492","not_reported","0","NA","NA","NA","NA","NA","19703","NA","NA","9500","9500","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Grace International Beauty School",2025,"01 City","NY","National Accrediting Commission of Career Arts and Sciences",2,"Private for-profit","11","Main","NA","15","not_reported","0","NA","NA","NA","NA","NA","11526","NA","NA","PS","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Alliance Computing Solutions",2025,"01 City","NY","Council on Occupational Education",2,"Private for-profit","11","Main","NA","4","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","5709","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"InterAmerican Technical Institute",2025,"02 Suburb","FL","Accrediting Commission of Career Schools and Colleges",5,"Private for-profit","21","Main","NA","606","not_reported","0","NA","NA","NA","NA","NA","23013","NA","NA","7917","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bay Area Medical Academy",2025,"01 City","CA","Middle States Commission on Secondary Education",8,"Private for-profit","11","Main","NA","159","not_reported","0","NA","NA","NA","NA","NA","52273","NA","NA","8291","9089","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mind Body Institute",2025,"01 City","TN","Accrediting Commission of Career Schools and Colleges",5,"Private for-profit","11","Main","NA","36","not_reported","0","NA","NA","NA","NA","NA","29696","NA","NA","7389","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Parisian Spa Institute",2025,"01 City","FL","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","11","Main","NA","198","not_reported","0","NA","NA","NA","NA","NA","17934","NA","NA","3167","3167","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Creative Touch Cosmetology School",2025,"03 Town","IL","National Accrediting Commission of Career Arts and Sciences",3,"Private for-profit","31","Main","NA","21","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"LaBarberia Institute of Hair",2025,"02 Suburb","OH","National Accrediting Commission of Career Arts and Sciences",3,"Private for-profit","21","Main","NA","213","not_reported","0","NA","NA","NA","NA","NA","10953","NA","NA","12000","20000","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Bos-Man's Barber College",2025,"01 City","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","12","Main","1","54","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","14000","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Lawrence & Company College of Cosmetology",2025,"03 Town","CA","National Accrediting Commission of Career Arts and Sciences",8,"Private for-profit","31","Main","NA","38","not_reported","0","NA","NA","NA","NA","NA","19005","NA","NA","6333","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Alabama College of Osteopathic Medicine",2025,"01 City","AL","American Osteopathic Association",5,"Private nonprofit","13","Main","NA","NA","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","-999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"High Desert Medical College",2025,"02 Suburb","CA","Accrediting Council for Continuing Education & Training",8,"Private for-profit","21","Main","NA","1721","not_reported","0","NA","NA","NA","NA","NA","31486","NA","NA","9500","13555","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Paul Mitchell the School-Schenectady",2025,"01 City","NY","National Accrediting Commission of Career Arts and Sciences",2,"Private for-profit","13","Main","NA","93","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","6492","6650","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Beyond Measure Barbering Institute",2025,"02 Suburb","NC","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","22","Main","NA","49","not_reported","0","NA","NA","NA","NA","NA","21274","NA","NA","9500","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Barber Institute of Texas",2025,"01 City","TX","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","13","Main","NA","16","not_reported","0","NA","NA","NA","NA","NA","18899","NA","NA","9500","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Jupiter Beauty Academy",2025,"01 City","MA","National Accrediting Commission of Career Arts and Sciences",1,"Private for-profit","11","Main","NA","207","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","2333","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MedQuest College",2025,"02 Suburb","KY","Accrediting Bureau of Health Education Schools",5,"Private for-profit","21","Main","NA","273","not_reported","0","NA","NA","NA","NA","NA","29291","NA","NA","9196","9500","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"First Coast Barber Academy",2025,"01 City","FL","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","11","Main","NA","50","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","9000","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Debutantes School of Cosmetology and Nail Technology",2025,"02 Suburb","IL","National Accrediting Commission of Career Arts and Sciences",3,"Private for-profit","23","Main","NA","65","not_reported","0","NA","NA","NA","NA","NA","26171","NA","NA","7867","7917","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Paul Mitchell the School-Farmington Hills",2025,"01 City","MI","National Accrediting Commission of Career Arts and Sciences",3,"Private for-profit","13","Main","NA","105","not_reported","0","NA","NA","NA","NA","NA","23132","NA","NA","9833","9833","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Paul Mitchell the School-Merrillville",2025,"02 Suburb","IN","National Accrediting Commission of Career Arts and Sciences",3,"Private for-profit","21","Main","NA","70","not_reported","0","NA","NA","NA","NA","NA","23477","NA","NA","9833","9833","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"TIGI Hairdressing Academy Newtown",2025,"02 Suburb","CT","National Accrediting Commission of Career Arts and Sciences",1,"Private for-profit","22","Main","NA","96","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","9833","9833","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Yahweh Beauty Academy",2025,"01 City","TX","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","12","Main","NA","42","not_reported","0","NA","NA","NA","NA","NA","17449","NA","NA","PS","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Arizona School of Integrative Studies",2025,"01 City","AZ","Commission on Massage Therapy Accreditation",6,"Private for-profit","11","Main","NA","161","not_reported","0","NA","NA","NA","NA","NA","23733","NA","NA","8347","8444","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Lee Professional Institute",2025,"01 City","FL","Council on Occupational Education",5,"Private for-profit","13","Main","NA","35","not_reported","0","NA","NA","NA","NA","NA","27426","NA","NA","5970","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Park Place Premier Barber School",2025,"01 City","LA","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","11","Main","NA","22","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","15587","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"The Salon Professional Academy-San Jose",2025,"01 City","CA","National Accrediting Commission of Career Arts and Sciences",8,"Private for-profit","11","Main","NA","231","not_reported","0","NA","NA","NA","NA","NA","25116","NA","NA","6333","6333","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Tri-Community Adult Education",2025,"02 Suburb","CA","Council on Occupational Education",8,"Public","21","Main","NA","217","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ross Medical Education Center-Owensboro",2025,"01 City","KY","Accrediting Bureau of Health Education Schools",5,"Private for-profit","13","Other","NA","29","not_reported","0","25100","30481","PS","PS","22600","27138","22500","24500","8481","9500","0.3016591252","0.2569721116","0.4094827586","0.5222222222","NA","NA","NA","NA","NA"
"Ross Medical Education Center-Evansville",2025,"01 City","IN","Accrediting Bureau of Health Education Schools",3,"Private for-profit","12","Other","NA","68","not_reported","0","26800","33079","PS","PS","24600","27286","PS","PS","9389","9500","0.3171806167","0.2654867257","PS","PS","NA","NA","NA","NA","NA"
"Ross Medical Education Center-Johnson City",2025,"01 City","TN","Accrediting Bureau of Health Education Schools",5,"Private for-profit","13","Other","NA","67","not_reported","0","26800","33079","PS","PS","24600","27286","PS","PS","9389","9500","0.3171806167","0.2654867257","PS","PS","NA","NA","NA","NA","NA"
"North-West College-Anaheim",2025,"01 City","CA","Accrediting Commission of Career Schools and Colleges",8,"Private for-profit","11","Other","NA","455","not_reported","0","30900","39876","PS","PS","27500","36175","26800","30900","9500","9500","0.3725296443","0.327540107","0.4768518519","0.6041666667","NA","NA","NA","NA","NA"
"North-West College-Long Beach",2025,"01 City","CA","Accrediting Commission of Career Schools and Colleges",8,"Private for-profit","11","Other","NA","576","not_reported","0","30900","39876","PS","PS","27500","36175","26800","30900","9500","9500","0.3725296443","0.327540107","0.4768518519","0.6041666667","NA","NA","NA","NA","NA"
"Taylor Andrews Academy of Hair Design-Provo",2025,"01 City","UT","Middle States Commission on Secondary Education",7,"Private for-profit","12","Other","NA","148","not_reported","0","NA","36048","NA","NA","NA","24619","NA","NA","9500","10556","0.4402515723","0.2989690722","PS","PS","NA","NA","NA","NA","NA"
"University of Florida-Online",2025,"01 City","FL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Other","0.6438","4577","17036","0","65700","71588","60300","72400","47700","56398","43400","52900","14000","15000","0.6880226425","0.638150289","0.7037322047","0.7223730128","0.7815","0.5238","0.9253","16579","3876"
"Ogle School Hair Skin Nails-Stafford",2025,"02 Suburb","TX","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","21","Other","NA","516","not_reported","0","25100","31488","PS","PS","21800","24378","PS","PS","7917","7917","0.33","0.2584269663","0.4505494505","0.5238095238","NA","NA","NA","NA","NA"
"University of Phoenix-Arizona",2025,"01 City","AZ","Higher Learning Commission",6,"Private for-profit","11","Main","NA","76996","19449","0","54900","37752","47600","67400","34200","35359","30000","42700","16690","31553","0.2802824942","0.211640297","0.3795058503","0.5541658556","0.1874","0.0987","0.4165","9552","9552"
"University of Phoenix-California",2025,"01 City","CA","Higher Learning Commission",8,"Private for-profit","12","Other","NA","155","not_reported","0","54900","37752","47600","67400","34200","35359","30000","42700","16690","31553","0.2802824942","0.211640297","0.3795058503","0.5541658556","0.2143","0.2752","NA","NA","NA"
"University of Phoenix-Nevada",2025,"02 Suburb","NV","NA",8,"Private for-profit","21","Other","NA","NA","not_reported","0","54900","37752","47600","67400","34200","35359","30000","42700","16690","31553","0.2802824942","0.211640297","0.3795058503","0.5541658556","0.125","0.2","NA","NA","NA"
"University of Phoenix-Texas",2025,"01 City","TX","Higher Learning Commission",6,"Private for-profit","11","Other","NA","20","not_reported","0","54900","37752","47600","67400","34200","35359","30000","42700","16690","31553","0.2802824942","0.211640297","0.3795058503","0.5541658556","0.1224","0.1605","NA","NA","NA"
"Minerva University",2025,"01 City","CA","NA",8,"Private nonprofit","11","Other","0.0355","603","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","-999","NA","NA","NA","NA","NA","0.8628","0.8068","0.918","18700","18700"
"University of West Los Angeles",2025,"02 Suburb","CA","Western Association of Schools and Colleges Senior Colleges and University Commission",8,"Private for-profit","21","Main","NA","6","not_reported","0","PS","NA","PS","PS","PS","NA","PS","PS","-999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Rabbinical College Ohr Yisroel",2025,"01 City","NY","Association of Advanced Rabbinical and Talmudic Schools",2,"Private nonprofit","11","Main","NA","116","15850","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","NA","NA","NA","NA","0.4507","0.4754","0.8507","9000","9000"
