"INSTNM","YEAR","LOCALE2","STABBR","ACCREDAGENCY","REGION","CONTROL","LOCALE","MAIN","ADM_RATE","UGDS","COSTT4_A","HBCU","MN_EARN_WNE_P10","MD_EARN_WNE_P10","MN_EARN_WNE_MALE0_P10","MN_EARN_WNE_MALE1_P10","MN_EARN_WNE_P6","MD_EARN_WNE_P6","MN_EARN_WNE_MALE0_P6","MN_EARN_WNE_MALE1_P6","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","TUITIONFEE_OUT","TUITIONFEE_IN"
"University of Houston-Clear Lake",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","12","Main","0.753","6082","23788","0","52900","59004","46700","68500","45500","52098","42200","53500","13548","17831","0.5573852295","0.4930417495","0.5821138211","0.6866840731","0.5228","0.5628","0.7112","21330","7746"
"Houston Community College",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","11","Main","NA","37970","12065","0","39300","39254","35100","46600","31900","31319","29800","35500","8752","13921","0.2677953059","0.2386411591","0.3560466544","0.4449093445","0.1697","NA","NA","5460","2040"
"University of Houston-Downtown",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","11","Main","0.9064","12812","23017","0","49300","53551","44600","57200","42500","49120","39700","47700","13750","18750","0.4268054652","0.3830058688","0.4968041836","0.5275590551","0.3234","0.3411","0.6631","17788","7708"
"University of Houston-Victoria",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","13","Main","0.7671","2630","21179","0","46200","54467","40900","65800","43800","44888","40400","53600","13565","18973","0.4992679356","0.4442916094","0.5228310502","0.6467661692","0.2483","0.224","0.606","17291","7499"
"University of Houston",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","11","Main","0.6953","37175","25056","0","60600","62377","53500","69100","47100","52768","43000","51600","14000","18194","0.6189650689","0.5842553963","0.632141852","0.6774585188","0.6405","0.655","0.8549","22191","9711"
"Howard College",2025,"03 Town","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","33","Main","NA","1588","14227","0","35700","38382","29200","48700","30700","32428","25500","40100","6250","9500","0.4232209738","0.3583460949","0.5195729537","0.5373134328","NA","NA","NA","6076","2766"
"Howard Payne University",2025,"03 Town","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","33","Main","0.6769","716","44579","0","40500","48376","35700","44500","34000","38212","29700","37000","11892","26793","0.546969697","0.449339207","0.5060728745","0.7204301075","0.3169","0.3829","0.547","33322","33322"
"Huston-Tillotson University",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","11","Main","NA","982","25336","1","34200","42937","32700","36100","29900","38342","30200","29700","15999","30750","0.294197031","0.2373626374","0.3598130841","0.4583333333","0.3414","0.3284","0.5861","14703","14703"
"University of the Incarnate Word",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","11","Main","0.9336","4545","45850","0","52500","56733","50300","57500","41000","47625","39300","44600","21231","27000","0.4689873418","0.3953846154","0.4861460957","0.5814648729","0.5252","0.5842","0.7118","35660","35660"
"Jacksonville College-Main Campus",2025,"03 Town","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","32","Main","NA","197","18510","0","27900","38885","23600","35300","27600","30790","PS","PS","3500","PS","PS","PS","PS","PS","NA","NA","NA","8220","8220"
"Jarvis Christian University",2025,"04 Rural","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","42","Main","NA","730","25054","1","27500","32992","26500","28700","22800","27077","22400","23200","12000","27000","0.1748971193","0.1574074074","PS","PS","0.1555","0.2986","0.4481","11720","11720"
"KD Conservatory College of Film and Dramatic Arts",2025,"01 City","TX","National Association of Schools of Theatre",6,"Private for-profit","11","Main","0.6203","87","28717","0","29300","30187","29000","29700","21500","23483","21900","21100","12000","12750","0.3301886792","0.2657342657","PS","PS","NA","NA","NA","18080","18080"
"Kilgore College",2025,"03 Town","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","31","Main","NA","3133","14924","0","34400","37975","28600","44400","32700","32993","27800","39500","9500","14967","0.322007722","0.2703030303","0.3824404762","0.4888059701","NA","NA","NA","5256","2160"
"Lamar University",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","12","Main","0.8573","7945","21626","0","46000","49652","38400","57600","37200","47077","32700","44300","12500","21250","0.4398488765","0.3710355369","0.454723127","0.6191562144","0.3744","0.4041","0.6019","18482","8690"
