"Year","INSTNM","STABBR","REGION","ADM_RATE","UGDS","COSTT4_A","MD_EARN_WNE_P10","MD_EARN_WNE_P6","DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","isNCF"
"2020","Alverno College","WI",3,0.6978,1204,"37091",38800,36700,"24183",0.4611837048,0.3486529319,0.4965034965,0.6929460581,0.4282,0.4517,0.6934,FALSE
"2020","Madison Area Technical College","WI",3,,10691,"14108",36500,30600,"9471",0.4691775557,0.3554778555,0.5657289003,0.6493738819,0.2228,,,FALSE
"2020","Bellin College","WI",3,0.8814,377,"28340",58600,55600,"15000",0.8609271523,0.7142857143,,,0.7046,0.5769,0.8261,FALSE
"2020","Beloit College","WI",3,0.564,1212,"59283",42400,32100,"20875",0.7819706499,0.7222222222,0.8,0.7935222672,0.8259,0.7801,0.8213,FALSE
"2020","Blackhawk Technical College","WI",3,,2222,"13045",31300,28500,"5423",0.4251815981,0.3214285714,0.5704467354,0.6322869955,,,,FALSE
"2020","Cardinal Stritch University","WI",3,0.7094,1107,"39319",48500,43000,"24490",0.5250620347,0.4012195122,0.5639686684,0.6923076923,0.4783,0.4849,0.7459,FALSE
"2020","Carroll University","WI",3,0.6864,2843,"42918",44200,38600,"23000",0.7239101717,0.5286624204,0.7395437262,0.8026706231,0.6385,0.6165,0.8006,FALSE
"2020","Carthage College","WI",3,0.6783,2751,"55732",44700,37000,"19500",0.6784953868,0.498381877,0.6650717703,0.7683284457,0.622,0.6147,0.7729,FALSE
"2020","Columbia College of Nursing","WI",3,,116,"not reported",,,"15622",0.7909090909,0.7037037037,,,,,,FALSE
"2020","Concordia University-Wisconsin","WI",3,0.6473,3272,"43099",42800,37300,"19500",0.532168726,0.3341040462,0.5737514518,0.7504025765,0.561,0.5752,0.7879,FALSE
"2020","Edgewood College","WI",3,0.7288,1435,"41916",43300,39500,"20000",0.7004784689,0.5630498534,0.7280701754,0.8038674033,0.6214,0.6207,0.7758,FALSE
"2020","Fox Valley Technical College","WI",3,,6347,"14631",36100,32200,"6357",0.5097067328,0.3780674847,0.6387959866,0.7131258457,,,,FALSE
"2020","Gateway Technical College","WI",3,,5656,"12844",30100,24800,"7000",0.313213345,0.2247648903,0.4858934169,0.5990220049,,,,FALSE
"2020","The Professional Hair Design Academy","WI",3,,53,"not reported",21600,21200,"8000",0.5416666667,0.5138888889,,,,,,FALSE
"2020","Lakeland University","WI",3,0.5198,1765,"39929",42800,37400,"19200",0.5707831325,0.4390681004,0.6347305389,0.7249070632,0.5361,0.5354,0.6885,FALSE
"2020","Lakeshore Technical College","WI",3,,2162,"14187",34500,30800,"5250",0.5889361702,0.4832214765,0.6666666667,0.7866666667,,,,FALSE
"2020","Lawrence University","WI",3,0.6248,1431,"58458",44100,29400,"19849",0.7928118393,0.7415730337,0.7867647059,0.814516129,0.8008,0.7818,0.8664,FALSE
"2020","Maranatha Baptist University","WI",3,0.908,623,"25217",33000,29700,"12000",0.780952381,0.7058823529,0.8020833333,0.8256880734,0.5175,0.4884,0.6869,FALSE
